,Condition de prescription ou de délivrance,DesPharma,Dosage subst,Forme pharmaceutique,Nom,Nom subst,Type de générique,Voie d'administartion,cip7,cis,prix
2964,,comprimé,10 mg,solution injectable,AMIKACINE MYLAN 50 mg/1 ml  solution injectable,CHLORHYDRATE DE DONÉPÉZIL,,intramusculaire;intrathécale;intraveineuse;intraventriculaire cérébrale,5596641,62000612,0
2965,,solution buvable en gouttes,2CH à 30CH et 4DH à 60DH,solution injectable,PIPORTIL L4 25 mg/ml  solution injectable en ampoule (I.M.),PASSIFLORA INCARNATA POUR PRÉPARATIONS HOMÉOPATHIQUES,,intramusculaire,3137231,62000861,10.67
2966,,comprimé,80 mg,solution à diluer injectable,CHLORURE DE SODIUM HYPERTONIQUE 10 % COOPER  solution à diluer injectable,FÉBUXOSTAT,,intraveineuse,3653398,62001632,0
2967,,suspension,100 UI,solution à diluer pour perfusion,MABTHERA 500 mg  solution à diluer pour perfusion,INSULINE LISPRO RECOMBINANTE ,,intraveineuse,5606026,62002638,0
2968,,comprimé,0 57 mg,comprimé orodispersible,SOLUPRED 5 mg  comprimé orodispersible,CHLORHYDRATE DE ROPINIROLE,,orale,3493670,62002809,2.37
2969,,comprimé,200 00 mg,comprimé enrobé,MINERVA 35 microgrammes  comprimé enrobé,CIMÉTIDINE,,orale,3450672,62003590,0
2970,,comprimé,12 5 mg,poudre à diluer à diluer et  solution pour solution pour solution,BLINCYTO 38 5 microgrammes  poudre pour solution à diluer et solution pour solution pour perfusion,HYDROCHLOROTHIAZIDE,,intraveineuse,5501347,62003633,0
2971,,comprimé,,comprimé pelliculé,TRIVERAM 20 mg/10 mg/10 mg  comprimé pelliculé,CHLORHYDRATE DE BUPRÉNORPHINE,,orale,3003607,62005075,0
2972,,solution,25 mg,comprimé pelliculé,VIEKIRAX 12 5 mg/75 mg/50 mg  comprimé pelliculé,MÉTHOTREXATE,,orale,3000780,62005716,0
2973,,comprimé,500 mg,comprimé pelliculé sécable,CETIRIZINE ALMUS 10 mg  comprimé pelliculé sécable,CALCIUM ÉLÉMENT,,orale,4194656,62005883,2.22
2974,,comprimé,,gélule,CELECOXIB PFIZER 200 mg  gélule,BROMHYDRATE DE CITALOPRAM,,orale,2786128,62005890,5.06
2975,,comprimé,2 50 mg,comprimé,REPAGLINIDE TEVA 1 mg  comprimé,RIOCIGUAT,,orale,3462853,62006750,6.25
2976,,solution,200 mg,comprimé pelliculé sécable,MEMANTINE EVOLUGEN 10 mg  comprimé pelliculé sécable,OFLOXACINE,,orale,2764167,62007051,0
2977,,solution,5 12 mg,poudre et  solvant pour solution injectable,VIRAFERONPEG 120 microgrammes  poudre et solvant pour solution injectable en stylo prérempli,LÉVOFLOXACINE HÉMIHYDRATÉE,,sous-cutanée,3594336,62007329,0
2978,,dispositif,8 25 mg,solution injectable,INNOHEP 3 500 UI anti-Xa/0 35 ml  solution injectable en seringue préremplie,FENTANYL,,sous-cutanée;voie extracorporelle autre,3343321,62007966,6.24
2979,,comprimé,10 000 mg,comprimé pelliculé sécable,CETIRIZINE ZYDUS 10 mg  comprimé pelliculé sécable,CODÉINE,,orale,3921396,62008267,2.22
2980,,solution,200 microgrammes,pommade,ERYTHEDERMYL 5 %  pommade,LÉVOTHYROXINE SODIQUE ANHYDRE,,cutanée,2794866,62008580,0
2981,,comprimé,35 mg,comprimé pelliculé,METFORMINE RATIOPHARM 850 mg  comprimé pelliculé,RISÉDRONATE MONOSODIQUE ANHYDRE,,orale,3532341,62009853,0
2982,,crème,5 00 g,pastille à sucer,STREPSILS MIEL CITRON  pastille à sucer,SALICYLATE D'AMYLE,,voie buccale autre,3322661,62009928,0
2983,,comprimé,50 mg,émulsion injectable,DIPRIVAN 20 mg/ml  émulsion injectable en seringue pré-remplie,FER,,intraveineuse,5636116,62010414,0
2984,,solution,850 mg,comprimé sécable,MOLSIDOMINE BIOGARAN 2 mg  comprimé sécable,MÉTHIONINE,,orale,3555419,62011103,2.15
2985,,poudre,,comprimé,PARACETAMOL EG 500 mg  comprimé,ACÉTATE D'OCTRÉOTIDE,,orale,3473058,62013136,1.16
2986,,comprimé,5 mg,solution pour inhalation,BECOTIDE 250 microgrammes/dose  solution pour inhalation en flacon pressurisé,DICHLORHYDRATE DE LÉVOCÉTIRIZINE,,inhalée,3290286,62013175,14.32
2987,,comprimé,50 mg,comprimé pelliculé,COZAAR 50 mg  comprimé pelliculé sécable,SAFINAMIDE,,orale,4902248,62013232,4.72
2988,,solution,1 mg,gélule,FURADANTINE 50 mg  gélule,ATROPINE (SULFATE D'),,orale,5536863,62013296,0
2989,,comprimé,1 mg,comprimé enrobé à libération prolongée,KETOPROFENE RANBAXY LP 200 mg  comprimé enrobé à libération prolongée,GLIMÉPIRIDE,,orale,3783451,62013467,2.51
2990,,poudre,,gélule,ANAGRELIDE BIOGARAN 0 5 mg  gélule,AMOXICILLINE SODIQUE,,orale,3013000,62015062,170.09
2991,,comprimé,100 00 mg,gélule à libération prolongée,FLECAINIDE BIOGARAN LP 50 mg  gélule à libération prolongée,ACIDE TIAPROFÉNIQUE,,orale,2758729,62015977,8.63
2992,,gélule,,gélule,LIPANTHYL 67 Micronisé  gélule,CHLORHYDRATE DE FLUOXÉTINE,,orale,3352716,62016239,3.69
2993,,comprimé,50 mg,solution pour perfusion,GLUCOSE 30 % MACOPHARMA  solution pour perfusion,CAPTOPRIL,,intraveineuse,3794236,62016456,0
2994,,comprimé,80 mg,pommade,NERISONE  pommade,TELMISARTAN,,cutanée,3222356,62017113,2.56
2995,,poudre,5 mg,poudre pour solution injectable,KARDEGIC 500 mg/5 ml  poudre pour solution injectable,SULFATE DE VINDÉSINE,,intraveineuse,3537485,62018101,0
2996,,solution buvable en gouttes,2CH à 30CH et 4DH à 60DH,comprimé pelliculé,ELETRIPTAN ARROW 20 mg  comprimé pelliculé,SILICEA POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3015428,62018514,7.72
2997,,gélule,1 mg,poudre et  solution pour préparation injectable,TILDIEM 25 mg  poudre et solution pour préparation injectable I.V.,TACROLIMUS,,intraveineuse,5549067,62018628,0
2998,,crème,2CH à 30CH et 4DH à 60DH,comprimé pelliculé,ATORVASTATINE RANBAXY 40 mg  comprimé pelliculé,TABACUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,2697465,62019370,4.36
2999,,solution,0 5 g,solution pour hémofiltration,BICAFLAC SOLUTION TAMPON  solution pour hémofiltration,CHLORHEXIDINE (GLUCONATE DE),,hémofiltration;voie extracorporelle autre,3569172,62020458,0
3000,,solution buvable en ampoules,3CH à 30CH et 5DH à 60DH,comprimé pelliculé,SIMVASTATINE PHR LAB 20 mg  comprimé pelliculé,SYMPHYTUM OFFICINALE POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,4940148,62021001,12.79
3001,,comprimé,50 mg,comprimé pelliculé et  comprimé pelliculé pelliculé,DESOGESTREL/ETHINYLESTRADIOL BIOGARANCONTINU 150 microgrammes/30 microgrammes  comprimé pelliculé,CAFÉINE,,orale,2690581,62022046,0
3002,,comprimé,10 mg,crème,ACICLOVIR ALMUS 5 %  crème,CHLORHYDRATE D'ALFUZOSINE,,cutanée,3668744,62022480,0
3003,,solution,5 0 mg,comprimé,ZALASTA 5 mg  comprimé,BIOTINE,,orale,2241469,62022612,17.38
3004,,gélule,15 00 mg,comprimé pelliculé sécable,ATENOLOL MYLAN 100 mg  comprimé pelliculé sécable,LANSOPRAZOLE,,orale,3557565,62022861,4.60
3005,,comprimé,,solution injectable,PABAL 100 microgrammes/ml  solution injectable,DASATINIB MONOHYDRATÉ,,intraveineuse,5501092,62023123,0
3006,,comprimé,,comprimé pelliculé à libération prolongée,FLUVASTATINE ISOMED L.P. 80 mg  comprimé pelliculé à libération prolongée,ROSUVASTATINE CALCIQUE,,orale,3986562,62024079,0
3007,,comprimé,400 mg,solution injectable,ADRENALINE AGUETTANT 0 1 mg/mL sans sulfite  solution injectable en seringue pré-remplie,IBUPROFÈNE,,endotrachéobronchique;intra-osseuse;intraveineuse,3005497,62024136,0
3008,,comprimé,,comprimé sécable,RAMIPRIL TEVA 10 mg  comprimé sécable,ENTÉCAVIR MONOHYDRATÉ,,orale,3716035,62025170,0
3009,,solution buvable en gouttes,2CH à 30CH et 4DH à 60DH,comprimé pelliculé,VORICONAZOLE MYLAN 50 mg  comprimé pelliculé,DROSERA POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,2795452,62025327,237.95
3010,,comprimé,103 63 mg,capsule molle,DUTASTERIDE SANDOZ 0 5 mg  capsule molle,DOXYCYCLINE MONOHYDRATÉE,,orale,3007794,62025626,8.81
3011,,granulés,2500 mg,crème,EXEDIEMED  crème,CARBONATE DE CALCIUM,,cutanée,3003748,62026233,0
3012,,poudre,au minimum 10^3 7 DICC50,comprimé pelliculé,CEFPODOXIME RANBAXY 100 mg  comprimé pelliculé,VIRUS DES OREILLONS (SOUCHE RIT 4385 DERIVÉE DE LA SOUCHE JERYL LYNN) ATTENUÉ ,,orale,3802154,62026621,5.21
3013,,solution,1 g,comprimé,IVERMECTINE BIOGARAN 3 mg  comprimé,BIFONAZOLE,,orale,3014697,62026945,8.51
3014,,comprimé,200 mg,suspension injectable,INFLUVAC  suspension injectable en seringue préremplie  vaccin grippal inactivé à antigènes de surface,CHLORHYDRATE DE MÉBÉVÉRINE,,intramusculaire;sous-cutanée,3365216,62027876,4.85
3015,,comprimé,5 mg,poudre pour suspension buvable,AMOXICILLINE/ACIDE CLAVULANIQUE BIOGARAN 100 mg/12 5 mg par ml NOURRISSONS  poudre pour suspension buvable (Rapport Amoxicilline/Acide clavulanique : 8/1),FINASTÉRIDE,,orale,3535552,62027883,2.56
3016,,comprimé,3 75 mg,comprimé sécable,ARTHROCINE 200 mg  comprimé sécable,HÉMIFUMARATE DE BISOPROLOL,,orale,3190656,62028152,6.49
3017,,gélule,75 mg,solution buvable,CHOLECALCIFEROL EG 100 000 UI  solution buvable en ampoule,OSÉLTAMIVIR,,orale,3015378,62028825,1.11
3018,,solution,100 mg,comprimé sécable,CYPROTERONE BIOGARAN 50 mg  comprimé sécable,HEXAMIDINE (DIISÉTHIONATE D'),,orale,3423273,62028953,8.46
3019,,poudre,,solution injectable pour perfusion,CISATRACURIUM MYLAN 5 mg/ml  solution injectable/pour perfusion,CEFTRIAXONE SODIQUE,,intraveineuse,5854681,62029749,0
3020,,solution,500 mg,solution injectable,TOUJEO 300 unités/ml DoubleStar  solution injectable en stylo prérempli,LÉVÉTIRACÉTAM,,sous-cutanée,3017766,62030744,72.45
3021,,comprimé,5 mg,comprimé,REPAGLINIDE RANBAXY 2 mg  comprimé,APIXABAN,,orale,4987687,62031077,6.25
3022,,suspension,20 mg,solution injectable,ANAPEN 150 microgrammes/0 3 ml  solution injectable en seringue préremplie,IBUPROFÈNE,,intramusculaire,3615736,62031508,62.19
3023,,gélule,1000 mg,gélule à libération prolongée,GALANTAMINE TEVA SANTE LP 8 mg  gélule à libération prolongée,PARACÉTAMOL,,orale,2749280,62031593,0
3024,,comprimé,500 00 mg,gélule,FLUCONAZOLE SANDOZ 200 mg  gélule,CLARITHROMYCINE,,orale,3780719,62033904,34.45
3025,,solution,,comprimé gastro-résistant(e),PANTOPRAZOLE RANBAXY 40 mg  comprimé gastro-résistant,SULFATE DE CIPROFLOXACINE,,orale,3753119,62034970,5.03
3026,,comprimé,75 mg,poudre pour inhalation en gélule,ONBREZ BREEZHALER 300 microgrammes  poudre pour inhalation en gélule,IRBÉSARTAN,,inhalée,3998252,62036213,24.43
3027,,comprimé,5 mg,comprimé pelliculé,MOXONIDINE BIOGARAN 0 4 mg  comprimé pelliculé,TADALAFIL,,orale,3793662,62036633,6.04
3028,,poudre,1000 UI,solution injectable,NEOSTIGMINE RENAUDIN 5 mg/5 ml  solution injectable,LONOCTOCOG ALFA ,,intramusculaire;intraveineuse;sous-cutanée,2693958,62036900,0
3029,,comprimé,5 0 mg,comprimé pelliculé sécable,SPIRONOLACTONE SANDOZ 75 mg  comprimé pelliculé sécable,ÉVÉROLIMUS,,orale,3680834,62038157,3.64
3030,,gélule,300 mg,comprimé pelliculé sécable,OFLOXACINE EG 200 mg  comprimé pelliculé sécable,ATAZANAVIR,,orale,3635839,62038794,7.09
3031,,comprimé,,comprimé enrobé,OLANZAPINE ARROW GENERIQUES 5 mg  comprimé enrobé,CHLORHYDRATE DE ROPINIROLE,,orale,4939837,62039031,17.38
3032,,gélule,500 mg,comprimé orodispersible,ZOLMITRIPTAN TEVA SANTE 2 5 mg  comprimé orodispersible,PARACÉTAMOL,,orale,4975282,62039483,7.72
3033,,solution,5 microgrammes,comprimé pelliculé,SIMVASTATINE ALMUS 20 mg  comprimé pelliculé,SUFENTANIL,,orale,3855498,62039768,11.95
3034,,solution,0 700 g,comprimé effervescent(e),ACTRON  comprimé effervescent,EXTRAIT SEC DE FEUILLE DE LIERRE GRIMPANT,,orale,3118340,62040674,0
3035,,comprimé,40 mg,comprimé,OLANZAPINE ISOMED 10 mg  comprimé,VALSARTAN,,orale,4998969,62040845,0
3036,,gélule,25 mg,comprimé pelliculé,ATORVASTATINE ARROW LAB 20 mg  comprimé pelliculé,PRÉGABALINE,,orale,2211988,62041484,12.79
3037,,solution,1 mg,gélule,AMLODIPINE ALMUS 5 mg  gélule,ADRÉNALINE,,orale,3797660,62042102,4.36
3038,,comprimé,125 mg,solution injectable,HULIO 40 mg  solution injectable en seringue préremplie,MÉTRONIDAZOLE,,sous-cutanée,3015737,62042376,491.88
3039,,comprimé,100 0000 mg,solution buvable,ERGIX 5 % ADULTES EXPECTORANT SANS SUCRE  solution buvable édulcorée à la saccharine sodique,TOPIRAMATE,,orale,3610578,62042675,0
3040,,suppositoire,120 mg,comprimé gastro-résistant(e),MOPRALPRO 20 mg  comprimé gastro-résistant,TRIMÉBUTINE,,orale,3753266,62044256,0
3041,,collyre,0 35 mg,comprimé sécable,CANDESARTAN BIOGARAN 4 mg  comprimé sécable,INDOMÉTACINE,,orale,4156590,62044434,3.75
3042,,comprimé,2CH à 30CH et 4DH à 60DH,comprimé sécable,LISINOPRIL BIOGARAN 20 mg  comprimé sécable,COCCULUS INDICUS POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3673099,62045486,3.52
3043,,solution,5 mg,comprimé sécable,PRAVASTATINE ARROW GENERIQUES 20 mg  comprimé sécable,DIGOXINE,,orale,3704730,62046218,4.10
3044,,poudre,100 mg,comprimé sécable,PRAVASTATINE ALTER 20 mg  comprimé sécable,CARMUSTINE,,orale,3804101,62046798,11.95
3045,,crème,2 g,comprimé pelliculé sécable,NAPROXENE SODIQUE EG 550 mg  comprimé pelliculé sécable,KÉTOCONAZOLE,,orale,4997415,62047793,2.14
3046,,comprimé,500 mg,comprimé pelliculé,ATORVASTATINE ALTER 20 mg  comprimé pelliculé,ACÉTYLLEUCINE,,orale,4174412,62047925,4.10
3047,,granules,2CH à 30CH et 4DH à 60DH,comprimé pelliculé sécable,ZOPICLONE BIOGARAN 7 5 mg  comprimé pelliculé sécable,CINA POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3001861,62048087,1.92
3048,,poudre,50 microgrammes,capsule molle,GYNO DAKTARIN 400 mg  capsule molle vaginale,POLYOSIDE(S) DE NEISSERIA MENINGITIDIS GROUPE A,,vaginale,3238713,62048105,3.70
3049,,suspension,15 microgrammes d'hémagglutinine,comprimé pelliculé,BARACLUDE 1 mg  comprimé pelliculé,ANTIGÈNES DE SURFACE DE VIRUS DE LA GRIPPE  SOUCHE B/BRISBANE/60/2008 - SOUCHE ANALOGUE (B/BRISBANE/60/2008  SOUCHE SAUVAGE) ,,orale,3762911,62048799,154.87
3050,,solution buvable en ampoules,4CH à 30CH et 8DH à 60DH,poudre pour solution injectable,AMIKACINE MYLAN 250 mg  poudre pour solution injectable,BISMUTHUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,intramusculaire;intrathécale;intraveineuse;intraventriculaire cérébrale,5681022,62048906,0
3051,,comprimé,500 mg,gélule,CODOLIPRANE 500 mg/30 mg  gélule,ORNIDAZOLE,,orale,3005783,62049552,1.72
3052,,solution buvable en gouttes,2CH à 30CH et 4DH à 60DH,poudre pour solution pour perfusion,CEFUROXIME KABI 1500 mg  poudre pour solution pour perfusion,FLUORICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,intramusculaire;intraveineuse,3917124,62050519,0
3053,,granulés,4 800 g,gélule,ANAGRELIDE TEVA 0 5 mg  gélule,CEFPODOXIME,,orale,3012813,62051172,170.09
3054,,comprimé,250 mg,gélule gastro-résistant(e),MIKICORT 3 mg  gélule gastro-résistante,ACIDE URSODÉOXYCHOLIQUE,,orale,3569261,62052833,47.25
3055,,comprimé,20 mg,comprimé pelliculé,LEVETIRACETAM ACTAVIS 500 mg  comprimé pélliculé,PRAVASTATINE SODIQUE,,orale,2764670,62053006,22.52
3056,,comprimé,200 mg,comprimé,GUTRON 2 5 mg  comprimé,MALÉATE DE TRIMÉBUTINE,,orale,4900310,62055338,9.98
3057,,poudre,1 5 g,gélule,PREGABALINE ARROW LAB 25 mg  gélule,LACTOBACILLUS CASEI,,orale,3004030,62056600,6.69
3058,,comprimé,5 mg,comprimé pelliculé sécable,PIPORTIL 10 mg  comprimé pelliculé sécable,ACÉTATE DE NOMÉGESTROL,,orale,3141913,62057517,12.21
3059,,comprimé,200 mg,solution ou,TELEBRIX GASTRO (300 mg l/mL)  solution pour administration par voie orale ou rectale,CÉLIPROLOL,,orale;rectale,3274809,62059315,5.46
3060,,comprimé,500 mg,comprimé pelliculé,ZITHROMAX MONODOSE 250 mg  comprimé pelliculé,SODIUM (VALPROATE DE),,orale,3517778,62059468,5.91
3061,,solution,1 570 mg,comprimé pelliculé sécable,LEVOFLOXACINE TEVA 500 mg  comprimé pelliculé sécable,CITRATE DE FENTANYL,,orale,3911015,62059557,8.71
3062,,solution,6 000 UI,comprimé pelliculé,SPIRAMYCINE/METRONIDAZOLE ARROW 1 5 M.U.I./250 mg  comprimé pelliculé,ÉPOÉTINE BÊTA ,,orale,3710765,62061907,5.02
3063,,poudre,250 mg,solution injectable,DOPACIS 90 MBq/mL  solution injectable,CÉFACLOR,,intraveineuse,5768763,62062343,0
3064,,comprimé,100 mg,solution injectable,FULVESTRANT SANDOZ 250 mg  solution injectable en seringue pré-remplie,KÉTOPROFÈNE,,intramusculaire,3004326,62062457,98.52
3065,,solution,125 mg,comprimé pelliculé à libération prolongée,FLUVASTATINE CEVIDRA L.P. 80 mg  comprimé pelliculé à libération prolongée,ABATACEPT ,,orale,3943162,62066676,12.62
3066,,gélule,30 00 mg,solution buvable,BARACLUDE 0 05 mg/ml  solution buvable,LANSOPRAZOLE,,orale,3762928,62066808,449.91
3067,,comprimé,8 mg,solution à diluer pour perfusion,TOPOTECAN MYLAN 1 mg/ml  solution à diluer pour perfusion,CANDÉSARTAN CILEXÉTIL,,intraveineuse,5791437,62067194,0
3068,,poudre,1000 mg,pommade,MAXIDROL  pommade ophtalmique,GEMCITABINE,,ophtalmique,3198356,62067340,1.44
3069,,poudre,1 mg,comprimé pelliculé,ESCITALOPRAM MYLAN 5 mg  comprimé pelliculé,ACÉTATE DE TERLIPRESSINE,,orale,3010514,62067696,4.81
3070,,comprimé,306 mg,gélule,CEFADROXIL BIOGARAN 500 mg  gélule,MILLEPERTUIS (SOMMITÉ FLEURIE) (EXTRAIT SEC DE),,orale,3486049,62069124,4.52
3071,,granules,2CH à 30CH et 4DH à 60DH,solution buvable,ZIAGEN 20 mg/ml  solution buvable,LYCOPODIUM CLAVATUM POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3610905,62070450,74.94
3072,,comprimé,6 39 mg,comprimé pelliculé sécable,CITALOPRAM MYLAN 20 mg  comprimé pelliculé sécable,OXALATE D'ESCITALOPRAM,,orale,3000235,62071253,5.00
3073,,solution,0 1 - 300 GBq à la date et à l'heure de référence,comprimé effervescent(e),CLARADOL CAFEINE 500 mg/50 mg  comprimé effervescent,YTTRIUM [90Y],,orale,3320797,62074559,1.53
3074,,comprimé,200 mg,capsule molle,PROGESTERONE BIOGARAN 100 mg  capsule molle ou capsule molle vaginale,OFLOXACINE,,orale;vaginale,3580498,62075038,3.99
3075,,comprimé,100 mg,poudre pour solution injectable pour perfusion,ESOMEPRAZOLE SUN 40 mg  poudre pour solution injectable ou pour perfusion,VELPATASVIR,,intraveineuse,2741752,62075255,0
3076,,granulés,5 631 g,suspension buvable,NOXAFIL 40 mg/ml  suspension buvable,FOSFOMYCINE TROMÉTAMOL,,orale,3702398,62076503,0
3077,,solution,500 mg,gaz pour inhalation,OXYGENE MEDICINAL AIR LIQUIDE REUNION 200 bar  gaz pour inhalation en bouteille,LÉVÉTIRACÉTAM,,inhalée,3639524,62077046,0
3078,,solution,60 mg,comprimé orodispersible,RISPERDALORO 2 mg  comprimé orodispersible,ÉNOXAPARINE SODIQUE ,,orale,3637471,62077847,0
3079,,comprimé,50 mg,gélule,SILODOSINE BIOGARAN 4 mg  gélule,ACARBOSE,,orale,3019060,62078365,4.71
3080,,comprimé,50 mg,comprimé,DIARALIA  comprimé,SPIRONOLACTONE,,orale,3609664,62079225,0
3081,,crème,5 g,solution pour perfusion,GLUCOSE 20 % MACOPHARMA  solution pour perfusion,ACICLOVIR,,intraveineuse,3794271,62079435,0
3082,,crème, 0 050 g,comprimé à libération prolongée,TRAMADOL EG L.P. 150 mg  comprimé à libération prolongée,BÉTAMÉTHASONE,,orale,3972620,62079531,7.98
3083,,comprimé,25 mg,comprimé enrobé,DESOGESTREL ETHINYLESTRADIOL BIOGARAN 150 microgrammes/20 microgrammes  comprimé enrobé,HYDROCHLOROTHIAZIDE,,orale,3586621,62079905,0
3084,,gélule,10 mg,poudre pour solution à diluer pour perfusion,CASPOFUNGINE TEVA SANTE 50 mg  poudre pour solution à diluer pour perfusion,AMLODIPINE,,intraveineuse,3008417,62080334,0
3085,,gélule,42 12 mg,comprimé sécable,LEVOTHYROX 75 microgrammes  comprimé sécable,FLUVASTATINE SODIQUE,,orale,3319191,62080626,0
3086,,solution,40 00 mg,comprimé pelliculé,ELETRIPTAN ZENTIVA 40 mg  comprimé pelliculé,CHLORHYDRATE D'ARTICAÏNE,,orale,3009498,62080918,12.83
3087,,solution,5 mg,collyre en solution,TIMOCOMOD 0 50 POUR CENT  collyre en solution,OXALIPLATINE,,ophtalmique,3546998,62081557,6.73
3088,,comprimé,187 8 mg,granulés pour suspension buvable,JOSACINE 125 mg/5 ml  granulés pour suspension buvable,CHLORHYDRATE D'HEPTAMINOL,,orale,3230628,62082004,3.34
3089,,comprimé,24 mg,émulsion injectable,ETOMIDATE LIPURO 20 mg/10 ml  émulsion injectable,DICHLORHYDRATE DE BÉTAHISTINE,,intraveineuse,5614379,62082659,0
3090,,comprimé,160 mg,solution et  solution pour perfusion,PEDIAVEN AP-HP G25  solution pour perfusion,FÉNOFIBRATE,,intraveineuse,2160363,62083608,0
3091,,comprimé,500 mg,poudre et  solvant pour solution injectable,BENEFIX 1000 UI  poudre et solvant pour solution injectable,ACÉTYLSALICYLIQUE (ACIDE),,intraveineuse,5711585,62084553,0
3092,,comprimé,500 mg,suspension injectable,VAQTA 50 U/1 ml  suspension injectable en seringue préremplie. Vaccin de lhépatite A  inactivé  adsorbé. Pour adultes,PARACÉTAMOL,,intramusculaire;sous-cutanée,3830995,62087670,20.71
3093,,solution,500 mg,poudre et  poudre pour solution buvable,XIMEPEG  poudre pour solution buvable,MÉTRONIDAZOLE,,orale,3008145,62090079,7.37
3094,,gélule,42 12 mg,comprimé pelliculé,EPLERENONE SANDOZ 25 mg  comprimé pelliculé,FLUVASTATINE SODIQUE,,orale,3005792,62090524,14.66
3095,,pommade,0 500 g,solution injectable,REBIF 22 microgrammes  solution injectable en seringue préremplie,CHLORHYDRATE DE CINCHOCAÏNE,,sous-cutanée,3474170,62090595,578.18
3096,,comprimé,100 mg,générateur radiopharmaceutique,GALLIAPHARM 0 74 à 1 85 GBq  générateur radiopharmaceutique,ATÉNOLOL,,voie extracorporelle autre,5500524,62091099,0
3097,,comprimé,250 mg,comprimé,LORATADINE BIOGARAN CONSEIL 10 mg  comprimé,MILLEPERTUIS (SOMMITÉ FLEURIE) (EXTRAIT SEC DE),,orale,3946077,62091544,0
3098,,comprimé,10 000 mg,comprimé sécable,CORGARD 80 mg  comprimé sécable,RAMIPRIL,,orale,3478328,62092895,9.03
3099,,comprimé,6 25 mg,gélule,LENVIMA 4 mg  gélule,HYDROCHLOROTHIAZIDE,,orale,3001894,62093424,1.700.73
3100,,comprimé,2CH à 30CH et 4DH à 60DH,solution injectable hypertonique pour perfusion,MANNITOL 20 POUR CENT B. BRAUN  solution injectable hypertonique pour perfusion en flacon verre,RUMEX CRISPUS POUR PRÉPARATIONS HOMÉOPATHIQUES,,intraveineuse,3676382,62093602,0
3101,,comprimé,1 6975 mg,comprimé pelliculé,ATORVASTATINE BGR 10 mg  comprimé pelliculé,PÉRINDOPRIL,,orale,2174081,62094280,12.79
3102,,comprimé,47 50 mg,comprimé pelliculé,CELSENTRI 150 mg  comprimé pelliculé,SUCCINATE DE MÉTOPROLOL,,orale,3823481,62094362,645.63
3103,,poudre,125 mg,comprimé sécable,TRIATEC 5 mg  comprimé sécable,APRÉPITANT,,orale,4900141,62095667,14.97
3104,,suspension,1 g,gélule,PIROXICAM EG 20 mg  gélule,MÉSALAZINE,,orale,3456918,62096096,2.38
3105,,comprimé,95 7 mg,comprimé pelliculé sécable,ACEBUTOLOL ARROW 400 mg  comprimé pelliculé sécable,ELTROMBOPAG OLAMINE,,orale,3594974,62096139,5.02
3106,,comprimé,75 mg,gélule,ZONISAMIDE TEVA 100 mg  gélule,ACIDE ACÉTYLSALICYLIQUE,,orale,3010086,62096228,14.81
3107,,comprimé,5 mg,poudre pour solution injectable ou pour perfusion,AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 1 g/200 mg  poudre pour solution injectable/pour perfusion (I.V.),IVABRADINE,,intraveineuse,3776511,62096413,0
3108,,gélule,150 mg,solution pour inhalation,BECLOSPRAY 250 microgrammes/dose  solution pour inhalation en flacon pressurisé,PRÉGABALINE,,inhalée,3701631,62096580,14.85
3109,,comprimé,12 5 mg,crème,ECONAZOLE ARROW 1 %  crème,HYDROCHLOROTHIAZIDE,,cutanée,3831109,62098492,1.72
3110,,solution,,solution à diluer pour perfusion,GEMCITABINE KABI 38 mg/mL  solution à diluer pour perfusion,ACÉTATE D'ATOSIBAN,,intraveineuse,5500137,62099847,0
3111,,solution,0 200 g,solution injectable,CADENS 100 U.I./1 ml  solution injectable,CHLORHEXIDINE (GLUCONATE DE),,intramusculaire;intraveineuse;sous-cutanée,3644169,62100178,0
3112,,solution,,comprimé enrobé,ACEBUTOLOL RATIOPHARM 400 mg  comprimé enrobé,CHLORHYDRATE DE FLUOXÉTINE,,orale,3481715,62101141,0
3113,,comprimé,12 5 mg,poudre et  solvant pour suspension injectable,STAMARIL  poudre et solvant pour suspension injectable en seringue préremplie  Vaccin de la fièvre jaune (Vivant),HYDROCHLOROTHIAZIDE,,intramusculaire;sous-cutanée,3508101,62102962,0
3114,,comprimé,500 mg,comprimé pelliculé,MIRTAZAPINE SANDOZ 15 mg  comprimé pelliculé,LÉVÉTIRACÉTAM,,orale,3784657,62106380,2.93
3115,,solution buvable en gouttes,2CH à 30CH et 4DH à 60DH,comprimé quadrisécable,NEBIVOLOL SANDOZ 5 mg  comprimé quadrisécable,UVA URSI POUR PRÉPARATIONS HOMÉOPATHIQUES,,orale,3836650,62107482,5.02
